,smiles,mass,fp_score,rank_1,rank_2,rank_3
55,CCCCCOC(=O)CCCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,430.139034944,0.9945652173913043,1,1,1
56,CCCCCCCCCOC(=O)c1cccc(C(=O)OCC(CC)CCCC)n1,405.28790872800005,0.9855072463768116,37,9,9
57,CCCCCCCCCCCCCCCOC(=O)CCC(=O)OCCc1ccccc1Cl,466.28498753599996,0.9891304347826086,13,4,4
58,O=[N+]([O-])c1ccc2ccc3ccccc3c2c1,223.063328528,0.9873188405797102,2,4,2
59,CCCCCCCCCCCOC(=O)CCC(=O)OCCc1ccccc1F,394.25193782,0.9945652173913043,1,1,1
60,CCCCCC(C)N(CCC)C(=O)CC(C)CC(C)(C)C,297.303164868,0.9601449275362319,103,27,12
61,CCCCCCCCCCCCN(Cc1ccccc1)C(=O)C1CC1c1ccccc1,419.318814932,1.0,1,1,1
62,CC(C)CCCOC(=O)C1CCN(C(=O)c2ccc(F)cc2C(F)(F)F)CC1,403.17705654,0.9746376811594203,15,5,5
63,CCCCOC(=O)CCC(=O)OCc1ccc(I)cc1,390.032807088,0.9981884057971014,1,1,1
64,COc1c(F)c(F)cc(C(=O)Oc2cc(C)cc(C)c2)c1F,310.081678936,0.9619565217391305,5,3,3
65,CCCCCCCCCCCCCCCCCCCCN(C)C,325.370850504,0.947463768115942,1,1,1
66,CCC(=O)OC/C=C(/C)CCC=C(C)C,210.161979944,0.9583333333333334,5,1,1
67,COc1ccccc1COCC(C)C,194.130679816,0.967391304347826,5,1,1
68,CCCCCCCCCCCCCCCCO[Si](CC)(CC)OC(CCC)CCCC,456.43625768999993,1.0,1,1,1
69,CCCCOCCOCCOC(=O)C(F)(F)C(F)(F)F,308.10470012400003,0.980072463768116,1,1,1
70,COc1ccc(OC(=O)c2ccccc2OC)cc1,258.089208928,0.9565217391304348,3,1,1
71,C=CCCOC(=O)c1ccc(C(=O)OCCC)cc1,262.120509056,0.9891304347826086,1,1,1
72,CCCCCCCCCCCOC(=O)CCC(=O)OCCc1ccc(Cl)cc1,410.22238728,0.9909420289855072,5,2,2
73,C=C(C)C(=O)CC,98.07316494,0.9547101449275363,20,9,9
74,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1OC,440.2562742519999,0.9981884057971014,99999,1,99999
75,CC(C)CCCOC(=O)CCCCCCCCC(=O)OC/C=C/c1ccccc1,402.277009696,0.980072463768116,5,2,2
76,CCCCCCCCCCCCCCCCC(=O)OCCC,312.30283052,0.9655797101449275,58,12,12
77,CCCOC(=O)c1cccc(C(=O)Oc2c(OC)cccc2OC)c1,344.12598836,0.9746376811594203,7,1,1
78,CCCCCCOC(=O)c1cccc(C(=O)OCC(C)CC)n1,321.19400834400005,0.9891304347826086,3,2,2
79,CCC1(C(C)CC(C)O)C(=O)NC(=O)NC1=O,242.126657056,0.8097826086956522,3412,895,109
80,CC(=O)Oc1cc(C)cc2c1C(=O)c1ccccc1C2=O,280.073558864,0.9438405797101449,2,1,1
81,CCCCCCCCCCCCCCOC(=O)CCCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,556.2798855199999,1.0,1,1,1
82,CCCCC(CC)COC(=O)CCCC(=O)Oc1ccccc1F,338.189337564,0.9873188405797102,1,1,1
83,CCN(CC)C(=O)c1ccc(O)c(OC)c1,223.120843404,0.8967391304347826,2,1,1
84,O=C(N(c1ccc(Cl)cc1[N+](=O)[O-])C1CCCCC1)C(F)(F)C(F)(F)C(F)(F)F,450.05811752799997,0.7608695652173914,111,2,1
85,CCOCc1ccc(O[Si](C)(C)C)c(OC)c1,254.133821094,0.9221014492753623,63,13,12
86,CC(C)(C)[Si](C)(C)Oc1ccc2c(c1)C(=O)c1ccccc1-2,310.13890647399995,0.9148550724637681,4,2,1
87,CCCCc1ccc(N[Si](C)(C)C(C)(C)C)cc1,263.206926458,0.822463768115942,340,50,22
88,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCC(C)CC,398.33960995199993,0.9981884057971014,1,1,1
89,CCCCCCCCCCCCCCCCCCCCCCCO[Si](C)(C)C,412.410042942,0.9891304347826086,5,2,2
90,CC(C)COC(=O)CCCCCCCCC(=O)OCCc1ccc(Cl)cc1Cl,430.167764864,0.9601449275362319,48,4,4
91,CCC(OC(=O)/C=C/C(=O)OCCCCCCCCCl)c1ccccc1,380.175437088,0.9818840579710145,1,1,1
92,O=C(CCCC(=O)Oc1cccc2ccccc12)Oc1cccc(Cl)c1,368.08153670400003,0.9836956521739131,2,2,2
93,COc1ccc2oc(=O)cc(O[Si](C)(C)C(C)(C)C)c2c1,306.128735714,0.8731884057971014,109,32,8
94,O=c1[nH]c2ccccc2c(=O)o1,163.02694302,0.8242753623188406,843,257,48
95,CCCCCCCCCOC(=O)C(NC(=O)c1cccc(Br)c1)C(C)C,425.15655598399997,0.9909420289855072,1,1,1
96,CCCCCCCCCCCCCOC(=O)C1CCCCN1C(=O)OCCCC,411.33485892,0.9746376811594203,1,1,1
97,ClCCCCCCCCO[Si](OCCCCCCCCCl)(c1ccccc1)c1ccccc1,508.233112474,0.9492753623188406,2,1,1
98,C=C[Si](C)(OCCCCC)OCCCCCCCCCCCCCCCCCC,426.38930749799994,0.9891304347826086,99999,1,99999
99,CC(C)(C)c1cc(C=O)c(OC(=O)C(F)(F)C(F)(F)F)c(C(C)(C)C)c1,380.141085632,0.907608695652174,42,6,4
100,C=C/C(C)=C/C(=O)CC(C)C,152.120115132,0.9293478260869565,347,66,56
101,CC(COP(=O)(OCC(C)CC(C)(C)C)c1ccccc1)CC(C)(C)C,382.263681738,0.9402173913043478,8,5,1
102,CCCCCCCCCCCCN(C(C)=O)C(C)CC,283.287514804,0.9764492753623188,41,9,9
103,Cc1no[n+]([O-])c1CCl,148.00395508,0.9311594202898551,1,1,1
104,C#CC1(O[Si](C)(C)C)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,436.27975704999994,0.8188405797101449,302,15,8
105,CCOCCOCCOC(C)=O,176.104858992,0.967391304347826,4,1,1
106,CCCc1ccccc1OC(=O)C(F)(F)Cl,248.041563712,0.8822463768115942,65,12,8
107,CC1C2CC3CC1CC(C)(C3)C2,164.15650064,0.9492753623188406,146,39,39
108,CC(C)CCO[Si](C)(C)C,160.12834178999998,0.9818840579710145,2,1,1
109,C=CCC(C=C)O[Si](C)(C)C(C)(C)C,212.15964191799998,0.947463768115942,6,1,1
110,OCCCCCCCCCCCCO,202.193280072,0.9836956521739131,1,1,1
111,CCc1cc2c(-c3ccccc3)cc(=O)oc2cc1OC(C)=O,308.10485899199995,0.9510869565217391,1,1,1
112,CCOC(=O)CCC(=O)Oc1ccc(-c2ccccc2)cc1,298.120509056,0.9873188405797102,1,1,1
113,COCC(C(=O)OC)N(C)C(=O)C(F)(F)F,243.071842524,0.8967391304347826,7,1,1
114,Cc1c(C)c2ccccc2c2ccccc12,206.109550448,0.9764492753623188,36,14,14
115,CCCCCCOC(=O)C1CCCCC1C(=O)OC1CC(C)CC(C)C1,366.277009696,0.9873188405797102,2,1,1
116,COc1ccccc1OC(=O)CCC(=O)OCC(Cl)Cl,320.021828908,0.9746376811594203,1,1,1
117,CC(=O)Oc1cc(Cl)ccc1Cl,203.974484792,0.9963768115942029,1,1,1
118,CCCCCCCCCCCCCCCCCCCOC(=O)CCC(=O)OCCC(C)CC,468.417860272,1.0,1,1,1
119,Cc1ccc(S(=O)(=O)Oc2ccc(Cl)cc2Cl)cc1,315.97277054,0.9728260869565217,2,2,2
120,CCCC(OC(=O)CCC(=O)OCC1(CC)COCOC1)C(C)C,344.219888744,0.9601449275362319,1,1,1
121,C[Si](C)(C)OC(=O)c1ccccc1C(=O)O[Si](C)(C)C,310.10566224400003,0.9456521739130435,7,3,3
122,O=NN(c1ccccc1)c1ccccc1,198.07931294,0.9655797101449275,2,1,1
123,CCCOC(=O)C(NC(=O)c1cccc(C(F)(F)F)c1F)C(C)C,349.130106348,0.9510869565217391,17,4,3
124,O=NN1CC=CCC1c1cccnc1,189.090211972,0.8134057971014492,1541,430,254
125,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCC,468.417860272,0.9981884057971014,1,1,1
126,C=CC[Si](C)(C)Oc1ccccc1,192.09704166199998,0.9166666666666666,135,26,16
127,C=C[Si](C)(OCCCCCCCCCCCCCCCCCC)OC(C)CC(C)(C)C,454.420607626,0.9909420289855072,16,4,4
128,CCCCCCCCCOC(=O)C1CCCCN1C(=O)OCCCCCCCC,411.33485892,0.9855072463768116,1,1,1
129,CCCCCCCCCCCCCCCCCC(=O)NCCCCCC,367.381415188,0.9981884057971014,1,1,1
130,CCCCCOP(=O)(OCC(C)CCC)c1ccccc1,312.185431418,0.9601449275362319,6,2,2
131,CCCCCC(C)NC(=O)CCCCCl,233.154642068,0.9692028985507246,1,1,1
132,COc1ccc2c(OC(=O)C(F)(F)Cl)c(-c3ccccc3)c(=O)oc2c1,380.026307572,0.9655797101449275,1,1,1
