,ind,frac,accuracy,precision,recall,f1
0,12.0,0.18821319196026454,0.8969066858819291,0.7604938271604939,0.6675697642915199,0.7110085124801615
1,17.0,0.4566332964459428,0.8959802357300942,0.8850690933602966,0.8875619648490308,0.8863137762277099
2,25.0,0.10270478935584322,0.9372587369396264,0.8902564102564102,0.4383838383838384,0.5874788494077834
3,26.0,0.1206680906915099,0.9347882032014,0.8427635497319833,0.5851943755169562,0.6907493287771539
4,55.0,0.1169930771804308,0.9103916825364148,0.6978527607361963,0.4031900753212229,0.5110923897781522
5,66.0,0.11438865584064647,0.9180091615626126,0.72965322009908,0.4598572702943801,0.5641586867305062
6,70.0,0.2610134596083074,0.8630912553399558,0.8080473372781065,0.6486794603838115,0.71964586846543
7,75.0,0.18354993952183649,0.8728704513871017,0.7160592711253504,0.5038038884192729,0.5914654316903738
8,76.0,0.3719432792032324,0.8764733130886818,0.8650699196667658,0.7957033388067871,0.8289379900213828
9,77.0,0.13478137787271274,0.8929435380101909,0.6902536715620827,0.3901886792452829,0.4985535197685631
10,84.0,0.6171655042849422,0.8118276802717587,0.8395774880343291,0.855965000841326,0.8476920513247792
11,85.0,0.12213500784929356,0.9040609398322096,0.7234226447709594,0.3515329693406132,0.4731486715658565
12,86.0,0.5621072136294619,0.8163055226722941,0.8355006501950585,0.8334105438710275,0.8344542882322927
13,87.0,0.13231592763208688,0.911935766122806,0.7577413479052824,0.4875,0.5932968861421439
14,95.0,0.6109581285225313,0.9555818621648052,0.96144820650352,0.9660631578947368,0.9637501575166968
15,105.0,0.1094062845819286,0.9226928817746668,0.7123809523809523,0.5168125287885766,0.5990389749065669
16,106.0,0.22552435854543584,0.8708116732719131,0.7735849056603774,0.6063708759954494,0.6798469387755102
17,107.0,0.13689682682656926,0.8915023933295589,0.6753826530612245,0.3984198645598194,0.5011831519167061
18,108.0,0.24542810819157426,0.8607751299603685,0.7617840851495185,0.630056591909453,0.6896868188596995
19,119.0,0.15210644156779987,0.9204796953008392,0.8137992038920832,0.6207827260458839,0.7043062200956938
20,127.0,0.1384769796947783,0.9114725410468888,0.7975340687865022,0.466059916571862,0.5883197702249879
21,128.0,0.3770285920168824,0.8137320500283082,0.7908114935269972,0.6858825140353281,0.7346190511109482
22,131.0,0.14636230280258386,0.9244943126254568,0.8915461624026696,0.5575652173913044,0.6860689064840574
23,138.0,0.228803047070026,0.8689073035153636,0.7760663507109005,0.5939696214010428,0.6729163991267497
24,148.0,0.6161772653575932,0.8313346029131711,0.8761483792685041,0.8454461821527139,0.860523515641626
25,158.0,0.5075790719818822,0.9093108240259408,0.9082033215903372,0.9139066139977716,0.9110460420032308
26,161.0,0.5905087886352524,0.9512069586700294,0.9539372104992281,0.9643600416233092,0.9591203104786544
27,165.0,0.12251074452479604,0.9295897884605486,0.7754642656162071,0.5871325095867065,0.6682832201745879
28,173.0,0.106436420722135,0.9216120232641928,0.7156943303204601,0.42529296875,0.5335375191424196
29,197.0,0.1922485009136063,0.8998919141489526,0.8483187134502924,0.6027005972474682,0.7047214209807197
30,202.0,0.24219574336670355,0.8765247825415616,0.8145713503149822,0.633304940374787,0.7125913501856955
31,205.0,0.2378619039040585,0.8883112872510165,0.8181818181818182,0.6863587540279271,0.7464953271028036
32,208.0,0.16314692333427694,0.8987081167327191,0.8063508589276418,0.4925278219395866,0.6115278326095539
33,213.0,0.6355508659958309,0.9503834474239542,0.9636260069981284,0.9581681365806296,0.9608893216488152
34,222.0,0.4782716112926886,0.9105975603479336,0.902012993929066,0.9120180917510228,0.9069879518072288
35,223.0,0.13004091926808553,0.9394719234134541,0.8870786516853932,0.6182458888018794,0.7286571296723581
36,224.0,0.18023522145302004,0.9436409490967111,0.9114227086183312,0.7612110825478434,0.8295719844357976
37,234.0,0.14274390714671745,0.9218693705285912,0.8333333333333334,0.5689160086145011,0.6761945392491469
