,ind,frac,accuracy,precision,recall,f1
0,12.0,0.18821319196026456,0.8297905193267796,0.6612318840579711,0.19929019929019928,0.30627228865114325
1,17.0,0.4566332964459428,0.7741005713109269,0.7592391958589142,0.7252759889604415,0.7418690819267187
2,25.0,0.10270478935584322,0.9097225796489783,0.7642436149312377,0.19228868017795353,0.30726698262243285
3,26.0,0.1206680906915099,0.8934582325389882,0.7159309021113244,0.1625272331154684,0.2649147727272727
4,55.0,0.11699307718043081,0.8858407535127901,0.16666666666666666,0.0009049773755656109,0.0018001800180018003
5,66.0,0.11438865584064647,0.8841422615677595,0.632183908045977,0.024186455584872472,0.04659042778483694
6,70.0,0.2610134596083074,0.7846518091512688,0.6995403259506895,0.3257443082311734,0.4445034519383962
7,75.0,0.18354993952183649,0.8195480982037161,0.5940298507462687,0.10958149779735683,0.18503021850302187
8,76.0,0.3719432792032324,0.7629317000360286,0.768909318846636,0.5125348189415042,0.6150760488049474
9,77.0,0.13478137787271277,0.8656132585310619,0.3684210526315789,0.002686108979278588,0.005333333333333333
10,84.0,0.6171655042849422,0.6635956559781769,0.677817942819586,0.863229262576379,0.7593697076798469
11,85.0,0.12213500784929357,0.8792526635441865,0.7538461538461538,0.020596889449348465,0.040098199672667756
12,86.0,0.5621072136294619,0.651088578928406,0.6611849688772766,0.7840349917987972,0.7173885854838038
13,87.0,0.13231592763208688,0.8743630655206135,0.6147403685092128,0.14235841737781227,0.2311811023622047
14,95.0,0.6109581285225313,0.84600339698389,0.8369556928239152,0.927804548144391,0.8800416967364286
15,105.0,0.10940628458192861,0.8843481393792784,0.5666666666666667,0.007552199022656597,0.014905743095133714
16,106.0,0.22552435854543582,0.788769365381646,0.6572541382667965,0.1524734583239214,0.24752475247524755
17,107.0,0.13689682682656923,0.8649956250965052,0.5378787878787878,0.026965438663121913,0.05135623869801084
18,108.0,0.24542810819157423,0.7804827834680117,0.6637335009428033,0.2206435436690347,0.3311902148345617
19,119.0,0.15210644156779987,0.8620103968294817,0.7611607142857143,0.1169811320754717,0.20279512340172465
20,127.0,0.1384769796947783,0.859951618714293,0.6075949367088608,0.017531044558071585,0.03407880724174654
21,128.0,0.37702859201688244,0.6933449997426527,0.6821339260905808,0.3377355894896134,0.4517850570482149
22,131.0,0.14636230280258383,0.8670544032116939,0.7162426614481409,0.13052781740370897,0.22081447963800901
23,138.0,0.228803047070026,0.7903134489680375,0.6442382057231245,0.18731729255677984,0.29024390243902437
24,148.0,0.6161772653575932,0.7390498738998404,0.7528089887640449,0.8621834786218348,0.8037925696594426
25,158.0,0.5075790719818822,0.7973132945596788,0.7811911044101018,0.8368665455279628,0.8080709620820742
26,161.0,0.5905087886352524,0.8373050594472181,0.830197628458498,0.91202778983934,0.8691909786881854
27,165.0,0.12251074452479604,0.8823408307169694,0.668,0.07046413502109705,0.12748091603053435
28,173.0,0.10643642072213501,0.8930979463688301,0.6341463414634146,0.024773701762744165,0.04768454837230628
29,197.0,0.1922485009136063,0.8153790725204592,0.622792937399679,0.10374331550802139,0.17785927114370848
30,202.0,0.24219574336670355,0.784240053528231,0.7117601844734819,0.19523508328062408,0.3064195896757114
31,205.0,0.23786190390405848,0.7728138349889341,0.6089385474860335,0.16279069767441862,0.25690235690235697
32,208.0,0.16314692333427697,0.8441504966802202,0.6836935166994106,0.10824261275272162,0.18689581095596136
33,213.0,0.6355508659958309,0.8490400947037933,0.8462948031957781,0.932482636084639,0.8873006724303554
34,222.0,0.4782716112926886,0.8081733491172989,0.7897147616073288,0.8163133541375228,0.8027937986136833
35,223.0,0.13004091926808553,0.8769365381645993,0.712,0.10470588235294118,0.18256410256410258
36,224.0,0.18023522145302004,0.8595398630912553,0.7538747675139492,0.342728297632469,0.47122650649099007
37,234.0,0.14274390714671745,0.8620618662823614,0.6161616161616161,0.04475421863536317,0.08344733242134063
38,238.0,0.6551869675991456,0.6828967008080704,0.700648524152979,0.9043968080112659,0.7895905194494723
39,253.0,0.6261883315747484,0.848010705646199,0.8425863991081383,0.9313999342753861,0.8847699691731377
40,271.0,0.520271765705021,0.7995264810335067,0.782234697573343,0.8528976206930595,0.8160392953289566
41,300.0,0.6445067812749311,0.676823305368264,0.6960333250435216,0.8895510528406834,0.7809829432488055
42,301.0,0.1535579174923437,0.8521282618765762,0.7066666666666667,0.08751651254953764,0.15574493094328531
43,304.0,0.1287490027536866,0.876988007617479,0.7246376811594203,0.09823182711198428,0.17301038062283736
44,311.0,0.5109195254394318,0.7990632559575892,0.785422469823584,0.8415240748109829,0.8125060032657765
45,312.0,0.18371464600972798,0.8263935354367183,0.6900212314225053,0.09149774774774774,0.16157096694009443
46,326.0,0.3518233522917364,0.746924700190437,0.7443237907206318,0.4372915760475569,0.5509178920449356
47,334.0,0.153382916848959,0.8656132585310619,0.7034277198211625,0.1636615811373093,0.26554149085794654
48,335.0,0.14175052114162184,0.8814143805651345,0.7462514417531718,0.23690955693885024,0.3596442468037799
49,349.0,0.19826543479939265,0.8293787637037419,0.6773946360153257,0.2339862361037586,0.34782608695652173
50,351.0,0.17269989963198393,0.82608471871944,0.6105527638190955,0.07008941447937699,0.1257438551099612
51,358.0,0.10462464935532852,0.8955170106541768,0.5113636363636364,0.02214566929133858,0.04245283018867924
52,391.0,0.48434516303368763,0.7140357198002986,0.6919565878892383,0.7303286586018628,0.7106250000000001
53,392.0,0.29597755874102477,0.7988059086931906,0.7763466042154566,0.4574780058651026,0.5757082383588408
54,396.0,0.14993437475873073,0.8829584641515261,0.797588285960379,0.31231028667790894,0.4488608822103733
55,409.0,0.1881308387163188,0.8224818570178599,0.6811352253756261,0.11129296235679215,0.19132473622508797
