,n_1,n_2,n_3
301,29526,4342,2986
302,28568,6722,237
303,27931,558,72
304,38804,2481,135
305,38933,7593,2404
306,35533,7505,705
307,38849,2501,126
308,20902,4868,2505
309,37133,5457,1672
310,37351,3755,145
311,38364,7269,2849
312,38242,7513,1669
313,28054,7185,361
314,38824,7000,2909
315,34702,7375,892
316,26542,2901,1279
317,37754,7068,2670
318,28429,4003,2431
319,37204,7652,1632
320,36391,4264,1113
321,38365,6889,747
322,38719,7259,2628
323,35906,7064,2212
324,37374,6864,3004
325,17415,2263,816
326,35372,7298,1615
327,38625,7517,2351
328,38052,1721,62
329,38825,6856,1807
330,28291,7567,1767
331,29487,2552,878
332,22342,4435,1218
333,38564,7215,2502
334,26194,7083,807
335,33647,2485,462
336,33270,7124,538
337,36584,1300,100
338,34422,6335,2043
339,38688,7331,1353
340,26597,2591,984
341,35488,5239,182
342,36675,3641,514
343,25220,5114,1478
344,38235,7513,1661
345,38794,7294,2859
346,38971,4363,403
347,34202,7331,1668
348,16625,380,79
349,17265,4142,2128
350,38898,7228,1994
351,34327,4433,1548
352,25410,3950,2513
353,6535,1881,1016
354,14358,1440,686
355,38981,7527,2406
356,38553,6238,1549
357,28255,3000,1201
358,38813,7085,3016
359,37701,6316,3178
360,37077,5175,1250
361,38825,2433,190
362,34167,2685,70
363,8024,1872,434
364,37296,5018,1227
365,23295,3740,1325
366,38524,6846,2098
367,31493,2128,434
368,38830,6871,1234
369,38926,7495,2478
370,24631,3560,1399
371,38289,6813,2123
372,313,1188,13
373,19548,2123,1010
374,9349,2930,1261
375,38592,7153,2145
376,35715,7269,1207
377,38880,45,4
378,36672,7605,2586
379,38831,1658,91
380,21259,2940,1082
381,38721,7562,2215
382,38426,6696,2090
383,13841,2001,1582
384,37062,7592,1353
385,34542,5171,1891
386,38000,5537,1198
387,30936,2486,783
388,28429,6227,2080
389,32332,3596,1367
390,30527,7445,1970
391,37014,5406,1594
392,36301,7421,835
393,9763,677,558
394,38846,7163,3141
395,33081,6489,2823
396,26063,5167,65
397,36275,5652,1922
398,26565,6427,1424
399,26461,5683,141
400,34921,6852,2093
401,14903,3715,1902
402,28147,7350,536
403,17462,1626,685
404,28933,4358,3021
405,11394,1126,453
406,38420,7294,2679
407,37117,5457,1681
408,34470,6866,2372
409,37499,6491,405
410,38426,6364,1769
411,32152,5163,1908
412,38833,2943,220
413,38960,7069,3021
414,35310,5751,3111
415,38497,2877,330
416,36496,5224,1568
417,36710,5509,1853
418,30495,4280,1673
419,6642,2088,1115
420,31079,4968,1936
421,37519,5865,1607
422,31582,1379,149
423,38688,5010,410
424,37856,7009,2371
425,31955,1309,153
426,34283,6876,2631
427,26206,5729,2916
428,37954,7280,2643
429,26520,2967,1382
430,34280,4251,1493
431,26597,4435,1511
432,38156,7509,2620
433,33092,6368,1865
434,38334,5497,1345
435,25312,2967,1367
436,36285,2705,82
437,37382,6518,368
438,38440,7580,1990
439,37017,3681,507
440,35298,7499,1395
441,38520,6871,2033
442,18676,6725,643
443,38439,7064,3294
444,38901,7286,1922
445,36479,5163,1487
446,38985,6802,1642
447,34654,6481,2429
448,38735,7335,2343
449,38317,7375,2682
450,24345,4315,1430
451,14650,406,84
452,36793,3651,157
453,34456,4262,1421
454,36946,7199,2361
455,38196,5554,1187
456,36275,6844,2197
457,7722,611,509
458,33128,4662,1555
459,36403,3559,685
460,38867,6897,1581
461,38245,6889,683
462,638,2924,25
463,38695,7513,2215
464,36601,7016,1936
465,38972,7257,2019
466,20141,2271,913
467,38851,7441,2187
468,14938,2142,895
469,37743,6999,3471
470,38296,6909,3279
471,32192,7424,2289
472,38849,5564,656
473,38777,4281,487
474,34833,7647,507
475,24480,3980,2801
476,38394,7700,2404
477,38548,6922,1318
478,33661,3654,993
479,17133,1374,635
480,38748,5625,144
481,2765,450,326
482,17462,779,229
483,34023,7331,2215
484,13135,2123,682
485,6616,5924,139
486,36971,7574,2324
487,38827,7226,2243
488,38831,6871,1715
489,35988,2645,441
490,36086,7356,1407
491,35598,3493,789
492,25818,5757,2281
493,31167,7514,333
494,14613,4021,2001
495,35552,6464,3331
