,smiles,mass,fp_score,rank
75,CC(C)COC(=O)c(c1)c(O)ccc1,194.094294308,0.8739495798319328,3
76,CC(C)COC(=O)c(c1)ccc(O)c1,194.094294308,0.8928571428571429,2
77,CC(C)CCOC(=O)c(c1)c(O)ccc1,208.109944372,0.9421487603305785,1
78,COC(=O)c(c1)c(N)ccc1,151.063328528,0.8047619047619048,1
79,COC(=O)c(c1)ccc(N)c1,151.063328528,0.8086124401913876,1
80,CCOC(=O)c(c1)c(N)ccc1,165.078978592,0.9146919431279621,1
81,CCOC(=O)c(c1)ccc(N)c1,165.078978592,0.8755760368663594,1
82,Cc(c1)c(I)ccc1,217.959248224,0.9,1
83,Cc(c1)cc(I)cc1,217.959248224,0.7040816326530612,5
84,Cc(c1)ccc(I)c1,217.959248224,0.7444444444444445,3
85,COC(=O)CNC(C)=O,131.058243148,0.7480314960629921,1
86,COC(=O)C([H])(C)NC(C)=O,145.073893212,0.7218045112781954,2
87,CCC([H])(C)C([H])(NC(C)=O)C(=O)OC,187.120843404,0.7731958762886598,5
88,COC(=O)C([H])(NC(C)=O)C(C)C,173.10519334,0.875,3
89,COC(=O)C([H])(CC(C)C)NC(C)=O,187.120843404,0.9135135135135135,3
90,COC(=O)C([H])(CO)NC(C)=O,161.068807832,0.2909090909090909,328
91,COC(=O)C([H])(CCSC)NC(C)=O,205.07726434,0.9421965317919075,1
92,COC(=O)C([H])(NC(C)=O)Cc(c1)cccc1,221.10519334,0.9874476987447699,3
93,CCOC(=O)CCC([H])(NC(C)=O)C(=O)OCC,245.126322708,0.7627906976744186,2
94,CCOC(=O)CC([H])(NC(C)=O)C(=O)OCC,231.110672644,0.7156862745098039,37
95,COC(=O)CCC([H])(NC(C)=O)C(=O)OC,217.09502258,0.9206349206349206,3
96,COC(=O)CC([H])(NC(C)=O)C(=O)OC,203.079372516,0.8630952380952381,3
97,O=C(C1)NCC(=O)N1,114.042927432,0.6952380952380952,1
98,CC(N1)C(=O)NC(C)C(=O)1,142.07422756,0.3284671532846715,278
99,CC(C)C(N1)C(=O)NCC(=O)1,156.089877624,0.68,1
100,CC(C)CC(N1)C(=O)NCC(=O)1,170.105527688,0.5153374233128835,3
101,CC(N1)C(=O)NCC(=O)1,128.058577496,0.45652173913043476,51
102,CC(C)C(N1)C(=O)NC(C)C(=O)1,170.105527688,0.7253521126760564,1
103,COC(=O)CNC(=O)C([H])(C)NC(=O)C([H])(NC(C)=O)C(C)C,301.163770836,0.6502732240437158,3
104,COC(=O)C([H])(C)NC(=O)CNC(=O)C([H])(NC(C)=O)C(C)C,301.163770836,0.7472527472527473,2
105,COC(=O)CNC(=O)C([H])(CC(C)C)NC(=O)C([H])(NC(C)=O)C(C)C,343.210721028,0.7029702970297029,2
106,COC(=O)C([H])(C)NC(=O)C([H])(CC(C)C)NC(=O)C([H])(NC(C)=O)C(C)C,357.226371092,0.7777777777777778,2
107,COC(=O)C([H])(C)NC(=O)C([H])(Cc(c1)cccc1)NC(=O)C([H])(NC(C)=O)C(C)C,391.210721028,0.7007299270072993,1
108,COC(=O)CNC(=O)C([H])(NC(=O)CNC(C)=O)Cc(c1)cccc1,335.148120772,0.90234375,2
109,COC(=O)CNC(=O)C([H])(Cc(c1)cccc1)NC(=O)C([H])(C)NC(C)=O,349.163770836,0.9529411764705882,2
110,CC(=O)NCC(=O)NC([H])(Cc(c1)cccc1)C(=O)NC([H])(C)C(=O)OC,349.16377083599997,0.9246031746031746,2
111,COC(=O)C([H])(C)NC(=O)C([H])(Cc(c1)cccc1)NC(=O)C([H])(C)NC(C)=O,363.1794209,0.8790322580645161,2
112,CCOC(=O)CNC(=O)C([H])(CCSC)NC(=O)CNC(C)=O,333.135841836,0.5652173913043478,10
113,COC(=O)C([H])(C)NC(=O)C([H])(CC(C)C)NC(=O)C([H])(C)NC(C)=O,329.195070964,0.628140703517588,2
114,COC(=O)CNC(=O)C([H])(CC(C)C)NC(=O)C([H])(C)NC(C)=O,315.1794209,0.7360406091370558,3
115,CC(=O)NCC(=O)NC([H])(CC(C)C)C(=O)NC([H])(C)C(=O)OC,315.17942089999997,0.6538461538461539,2
116,COC(=O)CNC(=O)C([H])(C(C)C)NC(=O)CNC(C)=O,287.148120772,0.5196078431372549,1
117,COC(=O)CNC(=O)C([H])(C(C)C)NC(=O)C([H])(C)NC(C)=O,301.163770836,0.5396825396825397,36
118,COC(=O)C([H])(C)NC(=O)C([H])(C(C)C)NC(=O)CNC(C)=O,301.163770836,0.5167464114832536,20
119,OCC=C(C)CCC=C(C)C,154.135765196,0.7590361445783133,1
120,OCC=C(C)CCC=C(C)C,154.135765196,0.8072289156626506,1
121,O=CC=C(C)CCC=C(C)C,152.120115132,0.7066666666666667,1
122,O=CC=C(C)CCC=C(C)C,152.120115132,0.7721518987341772,1
123,N#CC=C(C)CCC=C(C)C,149.12044948,0.6231884057971014,7
124,N#CC=C(C)CCC=C(C)C,149.12044948,0.6666666666666666,2
125,CC(=O)OC([H])(C1)C([H])(CCC1)C(C)(C)C,198.161979944,0.673202614379085,5
126,CC(=O)OC([H])(C1)C([H])(CCC1)C(C)(C)C,198.161979944,0.8076923076923077,5
127,CC(=O)OC([H])(C1)CCC([H])(C1)C(C)(C)C,198.161979944,0.8,5
128,CC(=O)OC([H])(C1)CCC([H])(C1)C(C)(C)C,198.161979944,0.8333333333333334,4
129,[H]C(C2)(C1)C([H])(CCC2)CCC1,138.140850576,0.2196969696969697,1460
130,[H]C(C2)(C1)C([H])(CCC2)CCC1,138.140850576,0.5714285714285714,150
131,O=C(C1)C([H])(C2)C([H])(CCC2)CC1,152.120115132,0.8365384615384616,6
132,[H]C(C2)(C1)C([H])(CCC2)CC1,124.12520051199999,0.5466666666666666,78
133,[H]C(C2)(C1)C([H])(CCC2)CC1,124.12520051199999,0.6875,7
134,CC(O1)C1C(=O)C(O)(C(C)3)C(O)C(C(O)4)(O2)C(C(=O)c(c5)c(c(O)cc5)4)(C(O)3)2,392.11073221999993,0.4782608695652174,588
135,[H]C(O)(C(OC)7[H])C([H])(C)OC(C7([H])O)(OC([H])(C([H])(O)1)C(Oc(c25)cccc(c(O)c(c64)C(Oc(c36)ccc(c3C(=O)Oc45)C)=O)2)(OC([H])(C)C1([H])O)[H])[H],640.179205704,0.3835616438356164,6
136,O=C(C(C)=O)NCC(N52)(c(c1=O)c(CC2(C(c34)(N(C)C(C5([H])C#N)([H])Cc3c(c(c(OC)c4=O)C)=O)[H])[H])c(c(c(OC)1)C)=O)[H],562.2063639200001,0.2936046511627907,157
137,CN(C(=O)1)C([H])(CC(C)C)C(=O)OC(C(N(C)C([H])(CC(C)C)C(=O)OC(C(N(C)C([H])(CC(C)C)C(=O)OC1(C(C)C)[H])=O)(C(C)C)[H])=O)(C(C)C)[H],681.456430596,0.8095238095238095,2
138,c(c7)c(C12O)c(cc7O)OC(C(=O)c(c(O)3)c(cc(O)c3C(C4C(=O)c(c6)c(O)cc(c6)O)C=C(C)CC4c(c5O)ccc(O)c5)O2)1CC=C(C)C,708.220676592,0.4927536231884058,3
139,c(c1)c(cc(o2)c1cc2c(c6)cc(c(c6O)C(C3C(=O)c(c5O)ccc(c5CC=C(C)C)O)C=C(CC(c(c(O)4)ccc(O)c4)3)C)O)O,648.235932732,0.5764331210191083,3
140,CC(C)=CCc(c(O)3)c(O)cc(c3)c(o1)c([H])c(c2)c(cc(O)c2)1,310.12050905599995,0.574468085106383,2
141,CC(C)=CCc(c(O)3)c(O1)c(c(O)c3)C(=O)C(CC=C(C)C)=C(c(c2)c(O)cc(O)c2)1,422.17293855199995,0.5132450331125827,50
142,c(c6)(cc(c(c6)C(C(C1(c(c5)c(O)cc(O)c5)[H])([H])C(c(c32)c(cc(c2C(C(=C(c(c4)c(O)cc(O)c4)O3)CC=C(C)C)=O)O)O)C=C(C)C1)=O)O)O,692.2257619720001,0.4972375690607735,6
143,O=Cc(c1)c(C)ccc1,120.057514876,0.78125,2
